bedroom_num,hall_num,bathroom_num,rent_area,house_title,resblock_name,bizcircle_name,layout,rent_price_listing,house_tag,frame_orientation,m_url,rent_price_unit,latitude,longitude,distance,city,dist,type
2,1,1,60,整租·九龙洼 2室1厅 南,九龙洼,大厂,2室1厅1卫,900,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2259835209539665920.html,元/月,32.201654606494,118.74856444149,,南京,六合,整租
3,2,1,141,整租·宋都美域锦园 3室2厅 南,宋都美域锦园,奥体,3室2厅1卫,6900,近地铁 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2273674884863500288.html,元/月,31.993656756945,118.73143621917,665.0,南京,建业,整租
3,2,1,110,整租·赛世香樟园 3室2厅 南/北,赛世香樟园,仙林,3室2厅1卫,5200,近地铁,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2306428934684164096.html,元/月,32.106666,118.926277,880.0,南京,栖霞,整租
4,1,1,16,合租·莲花嘉园 4居室 南卧,莲花嘉园,奥体,4室1厅1卫,1000,公寓 近地铁 精装 押一付一 新上 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2320791532048744448.html,元/月,31.970711429382,118.72087105575,696.0,南京,建业,合租
3,1,1,98,整租·罗托鲁拉小镇 3室1厅 南/北,罗托鲁拉小镇,科学园,3室1厅1卫,2500,新上,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2322172104491417600.html,元/月,31.913063662497,118.8619561001,,南京,江宁,整租
5,2,1,114,整租·摄山星城齐东苑 5室2厅 南,摄山星城齐东苑,栖霞其它,5室2厅1卫,1600,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2293302572612075520.html,元/月,32.146449996919,119.00380996824,,南京,栖霞,整租
2,1,1,12,合租·石鼓路 2居室 北卧,石鼓路,朝天宫,2室1厅1卫,1990,公寓 近地铁 精装 押一付一 随时看房,北,https://m.lianjia.com/chuzu/nj/zufang/NJ2314721273978568704.html,元/月,32.04684,118.776409,164.0,南京,秦淮,合租
2,1,1,52,整租·和会街 2室1厅 南,和会街,三牌楼,2室1厅1卫,4200,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2305492380498788352.html,元/月,32.08382,118.77198,,南京,鼓楼,整租
2,1,1,97,整租·嘉业国际城 2室1厅 南/北,嘉业国际城,奥体,2室1厅1卫,5500,近地铁,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2232318516374282240.html,元/月,32.004683399831,118.73484137492,531.0,南京,建业,整租
3,2,1,116,整租·吉庆家园逢春苑 3室2厅 南,吉庆家园逢春苑,南苑,3室2厅1卫,4500,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2314275209454297088.html,元/月,32.022223,118.760352,,南京,建业,整租
3,2,1,92,整租·晨光苑 3室2厅 南/北,晨光苑,麒麟镇,3室2厅1卫,2200,,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2317924556746268672.html,元/月,32.05255884434,118.9308166001,,南京,栖霞,整租
3,1,1,19,合租·十字街70号 3居室 南卧,十字街70号,红山,3室1厅1卫,1030,近地铁 精装 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2194726379713732608.html,元/月,32.103613,118.814894,718.0,南京,玄武,合租
